Key,Value
initial_conditions_InitialElementLoading,InitialElementLoadingType.FIELD_STRESS_AND_BODY_FORCE
initial_conditions_AccountForMoistureContentInUnitWeight,False
initial_conditions_DryUnitWeight,0.016
initial_conditions_MoistUnitWeight,0.018
initial_conditions_SaturatedUnitWeight,0.02
initial_conditions_UnitWeight,16.0
initial_conditions_PorosityValue,0.5
initial_conditions_InitialWaterCondition,StaticWaterModes.PORE_WATER_PRESSURE
initial_conditions_InitialPoreWaterPressure,0.001
initial_conditions_InitialRu,1.0
initial_conditions_InitialHuType,HuTypes.CUSTOM
initial_conditions_InitialHu,1.0
initial_conditions_InitialTemperatureCondition,StaticWaterModes.PORE_WATER_PRESSURE
initial_conditions_InitialTemperature,0.0
stiffness_UseUnloadingCondition,False
stiffness_UnloadingCondition,UnloadingConditions.MEAN_STRESS
stiffness_ElasticParameters,ElasticParameters.CONSTANT_SHEAR_MODULUS
stiffness_ShearModulus,8333.33
stiffness_PoissonsRatio,0.3
stiffness_YoungsModulus,20000.0
stiffness_UseResidualYoungsModulus,False
stiffness_ResidualYoungsModulus,20000.0
stiffness_UnloadingPoissonsRatio,0.3
stiffness_UnloadingYoungsModulus,20.0
stiffness_UseUnloadingResidualYoungsModulus,False
stiffness_UnloadingResidualYoungsModulus,20.0
strength_MaterialType,MaterialType.ELASTIC
strength_PeakTensileStrength,0.0
strength_PeakFrictionAngle,35.0
strength_PeakCohesion,10.5
strength_ResidualTensileStrength,0.0
strength_ResidualFrictionAngle,35.0
strength_ResidualCohesion,10.5
strength_DilationAngle,0.0
strength_ApplySSRShearStrengthReduction,True
hydraulic_StaticWaterMode,StaticWaterModes.DRY
hydraulic_StaticPoreWaterPressure,1.0
hydraulic_RuValue,0.0
hydraulic_HuType,HuTypes.CUSTOM
hydraulic_HuValue,1.0
thermal_conductivity_UnfrozenConductivity,0.5
thermal_conductivity_FrozenConductivity,5.0
thermal_conductivity_FrozenTemperature,0.0
thermal_heat_capacity_IncludeLatentHeat,False
thermal_heat_capacity_UnfrozenVolumetricHeatCapacity,0.5
thermal_heat_capacity_FrozenVolumetricHeatCapacity,5.0
thermal_heat_capacity_FrozenTemperature,0.0
