Depth (m),Axial Force (kN),Shear Force (kN),Bending Moment (kNm)
0.0,2.8784,-4.1098,1.6439
0.8000000000000007,15.640699999999999,4.4036,-0.11755000000000004
1.6000000000000014,32.521,15.950500000000002,-8.259
2.4000000000000004,38.6205,16.155,-21.101
3.1999999999999993,44.2495,8.1174,-30.810000000000002
4.0,50.1905,-0.3672000000000002,-33.9105
4.800000000000001,64.224,10.8039,-38.085499999999996
5.6,83.7765,24.1825,-52.08
6.4,99.3695,11.793605000000001,-66.47
7.199999999999999,117.27000000000001,-17.844395,-64.0495
8.0,112.7235,-33.616,-41.912
9.0,76.3485,-21.2235,-16.3002
10.0,54.64,-11.377,-5.6884
