Depth,s = 1 m,s = 2 m,s = 3 m
0,-0.030487999999999994,-0.042047000000000015,-0.05113
1,-0.037010999999999974,-0.04863599999999997,-0.05738499999999999
2,-0.04331200000000002,-0.05500900000000001,-0.06348400000000001
3,-0.04888900000000001,-0.06013099999999999,-0.06804949999999999
4,-0.053032999999999976,-0.0635,-0.07061200000000002
5,-0.05545000000000001,-0.06450400000000002,-0.07051450000000001
6,-0.05601299999999999,-0.06291199999999997,-0.06746199999999995
7,-0.053337,-0.057630499999999994,-0.06058150000000002
8,-0.04776700000000002,-0.049848000000000045,-0.05117800000000002
9,-0.036818499999999976,-0.03758499999999997,-0.038050999999999974
10,-0.028900000000000016,-0.02855400000000002,-0.028238999999999997
